"year","state_id","state","cve_cie","morbilidad"
2012,13,"Hidalgo","M00-M99",4232
2012,13,"Hidalgo","N00-N99",8665
2012,13,"Hidalgo","O00-O99",25427
2012,13,"Hidalgo","P00-P96",577
2012,13,"Hidalgo","Q00-Q99",187
2012,13,"Hidalgo","R00-R99",8444
2012,13,"Hidalgo","S00-T99",32220
2012,13,"Hidalgo","Z00-Z99",37127
2012,14,"Jalisco","A00-B99",10043
2012,14,"Jalisco","C00-D48",2219
2012,14,"Jalisco","D50-D89",1546
2012,14,"Jalisco","E00-E90",10800
2012,14,"Jalisco","F00-F99",12213
2012,14,"Jalisco","G00-G99",6148
2012,14,"Jalisco","H00-H59",11488
2012,14,"Jalisco","I00-I99",7200
2012,14,"Jalisco","J00-J99",90761
2012,14,"Jalisco","K00-K93",44934
2012,14,"Jalisco","L00-L99",9169
2012,14,"Jalisco","M00-M99",17296
2012,14,"Jalisco","N00-N99",31450
2012,14,"Jalisco","O00-O99",66592
2012,14,"Jalisco","P00-P96",1735
2012,14,"Jalisco","Q00-Q99",571
2012,14,"Jalisco","R00-R99",61551
2012,14,"Jalisco","S00-T99",86387
2012,14,"Jalisco","Z00-Z99",131841
2012,15,"Estado de México","A00-B99",13084
2012,15,"Estado de México","C00-D48",5805
2012,15,"Estado de México","D50-D89",2968
2012,15,"Estado de México","E00-E90",32194
2012,15,"Estado de México","F00-F99",11886
2012,15,"Estado de México","G00-G99",11398
2012,15,"Estado de México","H00-H59",11764
2012,15,"Estado de México","I00-I99",11153
2012,15,"Estado de México","J00-J99",143551
2012,15,"Estado de México","K00-K93",78214
2012,15,"Estado de México","L00-L99",15173
2012,15,"Estado de México","M00-M99",27397
2012,15,"Estado de México","N00-N99",64069
2012,15,"Estado de México","O00-O99",157476
2012,15,"Estado de México","P00-P96",3671
2012,15,"Estado de México","Q00-Q99",1227
2012,15,"Estado de México","R00-R99",42260
2012,15,"Estado de México","S00-T99",152948
2012,15,"Estado de México","Z00-Z99",229006
2012,16,"Michoacán de Ocampo","A00-B99",5335
2012,16,"Michoacán de Ocampo","C00-D48",2306
2012,16,"Michoacán de Ocampo","D50-D89",1229
2012,16,"Michoacán de Ocampo","E00-E90",10014
2012,16,"Michoacán de Ocampo","F00-F99",4574
2012,16,"Michoacán de Ocampo","G00-G99",4336
2012,16,"Michoacán de Ocampo","H00-H59",3550
2012,16,"Michoacán de Ocampo","I00-I99",4009
2012,16,"Michoacán de Ocampo","J00-J99",36714
2012,16,"Michoacán de Ocampo","K00-K93",27209
2012,16,"Michoacán de Ocampo","L00-L99",5109
2012,16,"Michoacán de Ocampo","M00-M99",7562
2012,16,"Michoacán de Ocampo","N00-N99",16864
2012,16,"Michoacán de Ocampo","O00-O99",35405
2012,16,"Michoacán de Ocampo","P00-P96",878
2012,16,"Michoacán de Ocampo","Q00-Q99",646
2012,16,"Michoacán de Ocampo","R00-R99",16255
2012,16,"Michoacán de Ocampo","S00-T99",58838
2012,16,"Michoacán de Ocampo","Z00-Z99",47442
2012,17,"Morelos","A00-B99",3469
2012,17,"Morelos","C00-D48",1091
2012,17,"Morelos","D50-D89",946
2012,17,"Morelos","E00-E90",7243
2012,17,"Morelos","F00-F99",2133
2012,17,"Morelos","G00-G99",2561
2012,17,"Morelos","H00-H59",4312
2012,17,"Morelos","I00-I99",2326
2012,17,"Morelos","J00-J99",36936
2012,17,"Morelos","K00-K93",17130
2012,17,"Morelos","L00-L99",4240
2012,17,"Morelos","M00-M99",4840
2012,17,"Morelos","N00-N99",12296
2012,17,"Morelos","O00-O99",18222
2012,17,"Morelos","P00-P96",645
2012,17,"Morelos","Q00-Q99",504
2012,17,"Morelos","R00-R99",14512
2012,17,"Morelos","S00-T99",47906
2012,17,"Morelos","Z00-Z99",29508
2012,18,"Nayarit","A00-B99",1813
2012,18,"Nayarit","C00-D48",456
2012,18,"Nayarit","D50-D89",390
2012,18,"Nayarit","E00-E90",2765
2012,18,"Nayarit","F00-F99",1331
2012,18,"Nayarit","G00-G99",1340
2012,18,"Nayarit","H00-H59",2369
2012,18,"Nayarit","I00-I99",1346
2012,18,"Nayarit","J00-J99",13257
2012,18,"Nayarit","K00-K93",7686
2012,18,"Nayarit","L00-L99",1973
2012,18,"Nayarit","M00-M99",2769
2012,18,"Nayarit","N00-N99",5113
2012,18,"Nayarit","O00-O99",3433
2012,18,"Nayarit","P00-P96",192
2012,18,"Nayarit","Q00-Q99",70
2012,18,"Nayarit","R00-R99",4374
2012,18,"Nayarit","S00-T99",19734
2012,18,"Nayarit","Z00-Z99",7456
2012,19,"Nuevo León","A00-B99",4211
2012,19,"Nuevo León","C00-D48",587
2012,19,"Nuevo León","D50-D89",409
2012,19,"Nuevo León","E00-E90",4144
2012,19,"Nuevo León","F00-F99",2926
2012,19,"Nuevo León","G00-G99",2203
2012,19,"Nuevo León","H00-H59",5079
2012,19,"Nuevo León","I00-I99",1634
2012,19,"Nuevo León","J00-J99",22303
2012,19,"Nuevo León","K00-K93",13764
2012,19,"Nuevo León","L00-L99",4061
2012,19,"Nuevo León","M00-M99",7494
2012,19,"Nuevo León","N00-N99",8625
2012,19,"Nuevo León","O00-O99",17710
2012,19,"Nuevo León","P00-P96",331
2012,19,"Nuevo León","Q00-Q99",164
2012,19,"Nuevo León","R00-R99",12914
2012,19,"Nuevo León","S00-T99",27036
2012,19,"Nuevo León","Z00-Z99",32467
2012,20,"Oaxaca","A00-B99",5445
2012,20,"Oaxaca","C00-D48",1899
2012,20,"Oaxaca","D50-D89",1784
2012,20,"Oaxaca","E00-E90",7796
2012,20,"Oaxaca","F00-F99",2231
2012,20,"Oaxaca","G00-G99",2623
2012,20,"Oaxaca","H00-H59",3995
2012,20,"Oaxaca","I00-I99",3343
2012,20,"Oaxaca","J00-J99",29173
2012,20,"Oaxaca","K00-K93",16295
2012,20,"Oaxaca","L00-L99",3943
2012,20,"Oaxaca","M00-M99",5717
2012,20,"Oaxaca","N00-N99",14007
2012,20,"Oaxaca","O00-O99",30512
2012,20,"Oaxaca","P00-P96",1298
2012,20,"Oaxaca","Q00-Q99",339
2012,20,"Oaxaca","R00-R99",11001
2012,20,"Oaxaca","S00-T99",30570
2012,20,"Oaxaca","Z00-Z99",56137
2012,21,"Puebla","A00-B99",8117
2012,21,"Puebla","C00-D48",2743
2012,21,"Puebla","D50-D89",1604
2012,21,"Puebla","E00-E90",10588
2012,21,"Puebla","F00-F99",3598
2012,21,"Puebla","G00-G99",2957
2012,21,"Puebla","H00-H59",4654
2012,21,"Puebla","I00-I99",5144
2012,21,"Puebla","J00-J99",44510
2012,21,"Puebla","K00-K93",25507
2012,21,"Puebla","L00-L99",5171
2012,21,"Puebla","M00-M99",7271
2012,21,"Puebla","N00-N99",16612
2012,21,"Puebla","O00-O99",51448
2012,21,"Puebla","P00-P96",1168
2012,21,"Puebla","Q00-Q99",418
2012,21,"Puebla","R00-R99",12069
2012,21,"Puebla","S00-T99",49882
2012,21,"Puebla","Z00-Z99",69161
2012,22,"Querétaro","A00-B99",1260
2012,22,"Querétaro","C00-D48",1656
2012,22,"Querétaro","D50-D89",549
2012,22,"Querétaro","E00-E90",4038
2012,22,"Querétaro","F00-F99",1915
2012,22,"Querétaro","G00-G99",1487
2012,22,"Querétaro","H00-H59",1396
2012,22,"Querétaro","I00-I99",1687
2012,22,"Querétaro","J00-J99",14286
2012,22,"Querétaro","K00-K93",9980
2012,22,"Querétaro","L00-L99",1892
2012,22,"Querétaro","M00-M99",2483
2012,22,"Querétaro","N00-N99",7932
2012,22,"Querétaro","O00-O99",38943
2012,22,"Querétaro","P00-P96",1084
2012,22,"Querétaro","Q00-Q99",318
2012,22,"Querétaro","R00-R99",5567
2012,22,"Querétaro","S00-T99",18242
2012,22,"Querétaro","Z00-Z99",23029
2012,23,"Quintana Roo","A00-B99",2464
2012,23,"Quintana Roo","C00-D48",328
2012,23,"Quintana Roo","D50-D89",253
2012,23,"Quintana Roo","E00-E90",2656
2012,23,"Quintana Roo","F00-F99",1234
2012,23,"Quintana Roo","G00-G99",862
2012,23,"Quintana Roo","H00-H59",1622
2012,23,"Quintana Roo","I00-I99",581
2012,23,"Quintana Roo","J00-J99",14483
2012,23,"Quintana Roo","K00-K93",6634
2012,23,"Quintana Roo","L00-L99",1685
2012,23,"Quintana Roo","M00-M99",2359
2012,23,"Quintana Roo","N00-N99",5346
2012,23,"Quintana Roo","O00-O99",7863
2012,23,"Quintana Roo","P00-P96",126
2012,23,"Quintana Roo","Q00-Q99",69
2012,23,"Quintana Roo","R00-R99",3719
2012,23,"Quintana Roo","S00-T99",12453
2012,23,"Quintana Roo","Z00-Z99",12167
2012,24,"San Luis Potosí","A00-B99",2324
2012,24,"San Luis Potosí","C00-D48",665
2012,24,"San Luis Potosí","D50-D89",512
2012,24,"San Luis Potosí","E00-E90",3408
2012,24,"San Luis Potosí","F00-F99",1432
2012,24,"San Luis Potosí","G00-G99",1862
2012,24,"San Luis Potosí","H00-H59",2662
2012,24,"San Luis Potosí","I00-I99",1844
2012,24,"San Luis Potosí","J00-J99",17298
2012,24,"San Luis Potosí","K00-K93",10490
2012,24,"San Luis Potosí","L00-L99",2263
2012,24,"San Luis Potosí","M00-M99",3907
2012,24,"San Luis Potosí","N00-N99",7553
2012,24,"San Luis Potosí","O00-O99",7151
2012,24,"San Luis Potosí","P00-P96",684
2012,24,"San Luis Potosí","Q00-Q99",108
2012,24,"San Luis Potosí","R00-R99",3848
2012,24,"San Luis Potosí","S00-T99",19278
2012,24,"San Luis Potosí","Z00-Z99",20894
2012,25,"Sinaloa","A00-B99",7070
2012,25,"Sinaloa","C00-D48",1020
2012,25,"Sinaloa","D50-D89",806
2012,25,"Sinaloa","E00-E90",5915
2012,25,"Sinaloa","F00-F99",2849
2012,25,"Sinaloa","G00-G99",2997
2012,25,"Sinaloa","H00-H59",5733
2012,25,"Sinaloa","I00-I99",3384
2012,25,"Sinaloa","J00-J99",42193
2012,25,"Sinaloa","K00-K93",20623
2012,25,"Sinaloa","L00-L99",4916
2012,25,"Sinaloa","M00-M99",9304
2012,25,"Sinaloa","N00-N99",13075
2012,25,"Sinaloa","O00-O99",18414
2012,25,"Sinaloa","P00-P96",399
2012,25,"Sinaloa","Q00-Q99",193
2012,25,"Sinaloa","R00-R99",21786
2012,25,"Sinaloa","S00-T99",41159
2012,25,"Sinaloa","Z00-Z99",40480
2012,26,"Sonora","A00-B99",4762
2012,26,"Sonora","C00-D48",1818
2012,26,"Sonora","D50-D89",1022
2012,26,"Sonora","E00-E90",6279
2012,26,"Sonora","F00-F99",4013
2012,26,"Sonora","G00-G99",3894
2012,26,"Sonora","H00-H59",6413
2012,26,"Sonora","I00-I99",5747
2012,26,"Sonora","J00-J99",46489
2012,26,"Sonora","K00-K93",23982
2012,26,"Sonora","L00-L99",6320
2012,26,"Sonora","M00-M99",9321
2012,26,"Sonora","N00-N99",16342
2012,26,"Sonora","O00-O99",24574
2012,26,"Sonora","P00-P96",560
2012,26,"Sonora","Q00-Q99",224
2012,26,"Sonora","R00-R99",15626
2012,26,"Sonora","S00-T99",55524
2012,26,"Sonora","Z00-Z99",41780
2012,27,"Tabasco","A00-B99",7709
2012,27,"Tabasco","C00-D48",2572
2012,27,"Tabasco","D50-D89",2493
2012,27,"Tabasco","E00-E90",13088
2012,27,"Tabasco","F00-F99",7257
2012,27,"Tabasco","G00-G99",3224
2012,27,"Tabasco","H00-H59",5731
2012,27,"Tabasco","I00-I99",3129
2012,27,"Tabasco","J00-J99",52705
2012,27,"Tabasco","K00-K93",26655
2012,27,"Tabasco","L00-L99",7178
2012,27,"Tabasco","M00-M99",7690
2012,27,"Tabasco","N00-N99",21383
2012,27,"Tabasco","O00-O99",63294
2012,27,"Tabasco","P00-P96",846
2012,27,"Tabasco","Q00-Q99",637
2012,27,"Tabasco","R00-R99",24409
2012,27,"Tabasco","S00-T99",45590
2012,27,"Tabasco","Z00-Z99",48162
2012,28,"Tamaulipas","A00-B99",4395
2012,28,"Tamaulipas","C00-D48",1109
2012,28,"Tamaulipas","D50-D89",983
2012,28,"Tamaulipas","E00-E90",7251
2012,28,"Tamaulipas","F00-F99",2284
2012,28,"Tamaulipas","G00-G99",2959
2012,28,"Tamaulipas","H00-H59",4402
2012,28,"Tamaulipas","I00-I99",3091
2012,28,"Tamaulipas","J00-J99",32715
2012,28,"Tamaulipas","K00-K93",18050
2012,28,"Tamaulipas","L00-L99",3740
2012,28,"Tamaulipas","M00-M99",7156
2012,28,"Tamaulipas","N00-N99",11232
2012,28,"Tamaulipas","O00-O99",22752
2012,28,"Tamaulipas","P00-P96",705
2012,28,"Tamaulipas","Q00-Q99",150
2012,28,"Tamaulipas","R00-R99",10240
2012,28,"Tamaulipas","S00-T99",33602
2012,28,"Tamaulipas","Z00-Z99",31644
2012,29,"Tlaxcala","A00-B99",2539
2012,29,"Tlaxcala","C00-D48",1165
2012,29,"Tlaxcala","D50-D89",587
2012,29,"Tlaxcala","E00-E90",4190
2012,29,"Tlaxcala","F00-F99",1656
2012,29,"Tlaxcala","G00-G99",1531
2012,29,"Tlaxcala","H00-H59",2522
2012,29,"Tlaxcala","I00-I99",1893
2012,29,"Tlaxcala","J00-J99",17407
2012,29,"Tlaxcala","K00-K93",9476
2012,29,"Tlaxcala","L00-L99",2081
2012,29,"Tlaxcala","M00-M99",3107
2012,29,"Tlaxcala","N00-N99",8118
2012,29,"Tlaxcala","O00-O99",19293
2012,29,"Tlaxcala","P00-P96",811
2012,29,"Tlaxcala","Q00-Q99",523
2012,29,"Tlaxcala","R00-R99",5923
2012,29,"Tlaxcala","S00-T99",17152
2012,29,"Tlaxcala","Z00-Z99",24351
2012,30,"Veracruz de Ignacio de la Llave","A00-B99",11322
2012,30,"Veracruz de Ignacio de la Llave","C00-D48",2718
2012,30,"Veracruz de Ignacio de la Llave","D50-D89",2767
2012,30,"Veracruz de Ignacio de la Llave","E00-E90",16517
2012,30,"Veracruz de Ignacio de la Llave","F00-F99",8071
2012,30,"Veracruz de Ignacio de la Llave","G00-G99",5727
2012,30,"Veracruz de Ignacio de la Llave","H00-H59",7526
2012,30,"Veracruz de Ignacio de la Llave","I00-I99",6739
2012,30,"Veracruz de Ignacio de la Llave","J00-J99",57451
2012,30,"Veracruz de Ignacio de la Llave","K00-K93",38994
2012,30,"Veracruz de Ignacio de la Llave","L00-L99",8818
2012,30,"Veracruz de Ignacio de la Llave","M00-M99",12091
2012,30,"Veracruz de Ignacio de la Llave","N00-N99",27590
2012,30,"Veracruz de Ignacio de la Llave","O00-O99",43402
2012,30,"Veracruz de Ignacio de la Llave","P00-P96",2070
2012,30,"Veracruz de Ignacio de la Llave","Q00-Q99",678
2012,30,"Veracruz de Ignacio de la Llave","R00-R99",32112
2012,30,"Veracruz de Ignacio de la Llave","S00-T99",60030
2012,30,"Veracruz de Ignacio de la Llave","Z00-Z99",81561
2012,31,"Yucatán","A00-B99",1058
2012,31,"Yucatán","C00-D48",198
2012,31,"Yucatán","D50-D89",215
2012,31,"Yucatán","E00-E90",1226
2012,31,"Yucatán","F00-F99",2250
2012,31,"Yucatán","G00-G99",564
2012,31,"Yucatán","H00-H59",828
2012,31,"Yucatán","I00-I99",575
2012,31,"Yucatán","J00-J99",6338
2012,31,"Yucatán","K00-K93",3139
2012,31,"Yucatán","L00-L99",790
2012,31,"Yucatán","M00-M99",1202
2012,31,"Yucatán","N00-N99",2643
2012,31,"Yucatán","O00-O99",3460
2012,31,"Yucatán","P00-P96",132
2012,31,"Yucatán","Q00-Q99",48
2012,31,"Yucatán","R00-R99",2530
2012,31,"Yucatán","S00-T99",8511
2012,31,"Yucatán","Z00-Z99",2089
2012,32,"Zacatecas","A00-B99",5002
2012,32,"Zacatecas","C00-D48",988
2012,32,"Zacatecas","D50-D89",944
2012,32,"Zacatecas","E00-E90",3775
2012,32,"Zacatecas","F00-F99",3124
2012,32,"Zacatecas","G00-G99",3176
2012,32,"Zacatecas","H00-H59",4562
2012,32,"Zacatecas","I00-I99",2760
2012,32,"Zacatecas","J00-J99",35388
2012,32,"Zacatecas","K00-K93",18657
2012,32,"Zacatecas","L00-L99",4265
2012,32,"Zacatecas","M00-M99",9085
2012,32,"Zacatecas","N00-N99",13714
2012,32,"Zacatecas","O00-O99",8395
2012,32,"Zacatecas","P00-P96",295
2012,32,"Zacatecas","Q00-Q99",257
2012,32,"Zacatecas","R00-R99",9688
2012,32,"Zacatecas","S00-T99",30647
2012,32,"Zacatecas","Z00-Z99",43055
2013,1,"Aguascalientes","A00-B99",1516
2013,1,"Aguascalientes","C00-D48",719
2013,1,"Aguascalientes","D50-D89",485
2013,1,"Aguascalientes","E00-E90",2941
2013,1,"Aguascalientes","F00-F99",6563
2013,1,"Aguascalientes","G00-G99",2025
2013,1,"Aguascalientes","H00-H59",2710
2013,1,"Aguascalientes","I00-I99",2086
2013,1,"Aguascalientes","J00-J99",22583
2013,1,"Aguascalientes","K00-K93",13869
2013,1,"Aguascalientes","L00-L99",2199
2013,1,"Aguascalientes","M00-M99",4816
2013,1,"Aguascalientes","N00-N99",9567
2013,1,"Aguascalientes","O00-O99",35826
2013,1,"Aguascalientes","P00-P96",236
2013,1,"Aguascalientes","Q00-Q99",509
2013,1,"Aguascalientes","R00-R99",5835
2013,1,"Aguascalientes","S00-T99",31768
